bot,user,timestamp,namespace,title,comment,length_old,length_new,revision_old,revision_new
True,Cewbot,1731522323,1,Talk:Stéphane Bahier,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),220,209,1205623048,1257190824
True,Cewbot,1731522320,1,Talk:Bae Seung-hee,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),332,321,1205609172,1257190817
True,Cewbot,1731522314,1,Talk:Melanie Bahlo,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),346,337,1205623025,1257190797
False,Speakfor23,1731522315,0,UNITE HERE,/* 2024 nationwide hotel strike */ ABC Boston source was bad,50941,50539,1257190328,1257190799
True,Cewbot,1731522308,1,Talk:Paramjit Bahia,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),257,245,1205623001,1257190773
True,Cewbot,1731522329,1,Talk:Marko Bagarić,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),233,222,1205613091,1257190842
True,Cewbot,1731522332,1,Talk:Jaye Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),275,263,1205630586,1257190850
True,Cewbot,1731522335,1,Talk:Baek Ee-seul,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),1324,1313,1215226205,1257190859
True,Cewbot,1731522326,1,Talk:Carlton Bailey (professor),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),285,274,1205630579,1257190834
False,ProfGray,1731522332,0,Bialik Prize,/* List of recipients */ edit for new blue link!,13668,13665,1253142898,1257190847
False,Leonidlednev,1731522334,0,Jamf,Reverted 1 edit by [[Special:Contributions/Collin09|Collin09]] ([[User talk:Collin09|talk]]) to last revision by Tessaract2,10068,9855,1257190736,1257190854
False,Thriley,1731522330,0,Ghost (company),/* References */,375,437,1257190690,1257190844
True,B-bot,1731522331,3,User talk:IceWelder,Notification that [[:File:MCV-Develop 951 cover.jpg]] is orphaned and will be deleted in seven days per [[WP:CSD#F5]],7079,8186,1255941521,1257190846
True,Lowercase sigmabot III,1731522334,3,User talk:Jc3s5h/Archive 4,Archiving 2 discussion(s) from [[User talk:Jc3s5h]]) (bot,100477,102171,1255589061,1257190855
False,Chrisahn,1731522338,1,Talk:Truth,/* Inclusion of reference to Colin Murray Turbayne */ Stop it,35343,36351,1257178631,1257190866
True,Cewbot,1731522344,1,Talk:Bae Sung-duk,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),604,593,1215226175,1257190887
False,Hairy Dude,1731522339,0,Rules of engagement,/* See also */capitalisation,4539,4539,1201403430,1257190871
False,Turkk 1453,1731522341,0,Çengelköy,Updated for 2024/25,4825,5088,1223631739,1257190876
True,Lowercase sigmabot III,1731522337,3,User talk:Jc3s5h,Archiving 2 discussion(s) to [[User talk:Jc3s5h/Archive 4]]) (bot,8697,7003,1257162316,1257190865
False,Patapsco913,1731522339,0,List of U.S. communities with African-American majority populations in 2010,/* Georgia */ ce,49759,49837,1256989109,1257190872
True,Cewbot,1731522338,1,Talk:Raj Bahadur (cricketer),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),228,216,1205621075,1257190868
True,Cewbot,1731522341,1,Talk:Elizabeth Baidu,"[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. Keep majority rating ""Start"" in {{WPBS}}. (Fix [[Category:Pages with redundant living parameter]])",2001,1989,1204108976,1257190879
True,Cewbot,1731522353,1,Talk:Yun Bai,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 2 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),1343,1332,1205627032,1257190916
False,GhostInTheMachine,1731522345,0,Cystic fibrosis,"Changing [[Wikipedia:Short description|short description]] from ""Genetic disorder inhibiting clearance of mucus from the lungs"" to ""Genetic disorder affecting mostly the lungs""",165289,165271,1257190537,1257190896
False,Coutureee,1731522353,2,User:Coutureee/sandbox,,661,658,1257190629,1257190915
True,Cewbot,1731522347,1,Talk:Ahmed Badr,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),231,219,1205607852,1257190893
True,Cewbot,1731522350,1,Talk:Pierre Baehr,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),269,258,1205609195,1257190907
False,Spideog,1731522345,3,User talk:80Me,/* 2024 in Italy */ new section,3150,3852,1253795129,1257190888
False,Leonidlednev,1731522352,3,User talk:Collin09,General note: Addition of defamatory content on [[:Jamf]].,1064,1758,1257190438,1257190910
False,Ikeshut2,1731522349,2,User:Ikeshut2/sandbox4,/* Death */,16715,16712,1257123231,1257190899
True,HBC AIV helperbot14,1731522354,4,Wikipedia:Administrator intervention against vandalism,"4 users left, rm [[Special:Contributions/WhomGoethYonder|WhomGoethYonder]] (blocked indef by Widr) ([[User:HBC AIV helperbot/Legend|ACB]])",3156,2887,1257190221,1257190918
True,Cewbot,1731522363,1,Talk:Barbara Evelyn Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),311,300,1205628834,1257190940
False,Baylorc,1731522361,0,Wonder Wellies,Added short description,1663,1705,1180769375,1257190936
True,HBC AIV helperbot14,1731522364,4,Wikipedia:Usernames for administrator attention,"2 users left, rm [[Special:Contributions/BigDickRichie|BigDickRichie]] (blocked indef by Hammersoft) ([[User:HBC AIV helperbot/Legend|ACB]])",1965,1590,1257189376,1257190942
True,Cewbot,1731522356,1,Talk:Asgar Baig,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),227,215,1205627040,1257190924
True,Cewbot,1731522359,1,Talk:Bai Mei (gymnast),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),360,349,1205627047,1257190929
True,B-bot,1731522362,6,File:Manzanita Band of Diegueño Mission Indians.gif,"Tagging orphaned non-free image for deletion.  If this image is not added to an article in the next seven days, it will be deleted.",276,327,1184102690,1257190935
True,Cewbot,1731522368,1,Talk:Salt Bae,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),2953,2942,1219933317,1257190957
False,Alrathai,1731522369,0,Mobile virtual network enabler,,2743,2803,1257190287,1257190956
True,Cewbot,1731522366,1,Talk:Colin Bailey (police officer),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),259,247,1205630609,1257190948
True,Cewbot,1731522372,1,Talk:Gaiutra Bahadur,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),314,302,1205621083,1257190963
True,Cewbot,1731522375,1,Talk:Momodou Alieu Bah,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),455,444,1205621092,1257190974
False,12.77.19.190,1731522375,0,Isabela Merced,she sings,40797,40799,1255596325,1257190975
True,Cewbot,1731522378,1,Talk:Matthew Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),411,399,1205632545,1257190981
True,Lowercase sigmabot III,1731522376,1,Talk:Tom Hiddleston/Archive 2,Archiving 1 discussion(s) from [[Talk:Tom Hiddleston]]) (bot,40081,41181,1157370321,1257190976
False,TenPoundHammer,1731522377,0,"Saginaw, Michigan (song)",added [[Category:Songs about Michigan]] using [[WP:HC|HotCat]],3376,3410,1243160430,1257190978
True,Lowercase sigmabot III,1731522378,1,Talk:Tom Hiddleston,Archiving 1 discussion(s) to [[Talk:Tom Hiddleston/Archive 2]]) (bot,5938,4838,1257041847,1257190984
True,Cewbot,1731522384,1,Talk:Ezequiel Baeza,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),314,303,1205613135,1257191000
False,Thriley,1731522382,0,Ghost (company),,437,528,1257190844,1257190996
True,Cewbot,1731522381,1,Talk:Salvo Baglio,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),243,232,1205618960,1257190991
True,Citation bot,1731522381,0,Way Too Early,Altered title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Spinixster | [[Category:American television series revived after cancellation]] | #UCB_Category 424/460,9762,9758,1255614841,1257190994
True,B-bot,1731522383,3,User talk:Azure1233,Notification that [[:File:Manzanita Band of Diegueño Mission Indians.gif]] is orphaned and will be deleted in seven days per [[WP:CSD#F5]],40694,41845,1257190689,1257190998
False,182.184.209.140,1731522384,0,Surat Thani,,19838,19838,1254699895,1257191012
False,Noel baran,1731522391,0,Denis Mack Smith,,9150,9173,1249104941,1257191027
True,Cewbot,1731522390,1,Talk:Nasria Baghdad-Azaïdj,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),368,357,1195527614,1257191024
False,Espresso Addict,1731522393,1,Talk:Yakiv Pavlenko,/* Moving material of lesser importance to talk page for discussion */ new section,3552,5365,1257159181,1257191031
False,Baylorc,1731522388,0,Richard Schirrmann,Added short description,5662,5699,1235756566,1257191019
True,Cewbot,1731522387,1,Talk:Alassane Bah,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),324,313,1205621107,1257191014
True,Cewbot,1731522393,1,Talk:Delphine Bagarry,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),303,291,1205613143,1257191030
True,Cewbot,1731522405,1,Talk:Astrid Båhl,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),313,302,1205623089,1257191060
True,Cewbot,1731522399,1,Talk:Marjorie Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),371,360,1205632560,1257191042
False,Robert McClenon,1731522400,3,User talk:Lherte,Notification: I've commented on [[Draft:Jim Noble (businessman)|your Articles for Creation submission]] ([[WP:AFCH|AFCH]]),3339,3821,1257122560,1257191044
False,Robert McClenon,1731522400,118,Draft:Jim Noble (businessman),Commenting on submission ([[WP:AFCH|AFCH]]),3520,3712,1257190960,1257191045
True,Cewbot,1731522396,1,Talk:Didier Baichère,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),997,985,1205627099,1257191036
True,Cewbot,1731522402,1,Talk:Apisai Driu Baibai,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),317,306,1205627122,1257191053
True,Cewbot,1731522414,1,Talk:Sima Sami Bahous,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),228,216,1205625001,1257191080
True,Cewbot,1731522408,1,Talk:Jeremy Bagshaw,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),241,230,1205618974,1257191066
True,Cewbot,1731522411,1,Talk:Nathan Bailey (gymnast),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),294,282,1212891588,1257191070
False,Chrisahn,1731522412,1,Talk:Truth,/* Inclusion of reference to Colin Murray Turbayne */,36351,36347,1257190866,1257191074
False,Ecrm87,1731522412,0,Royal Family Order of George V,"Link cleanup, minor corrections",5836,5782,1252867927,1257191075
True,InternetArchiveBot,1731522411,0,Nahlah Ayed,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5) ([[User:Whoop whoop pull up|Whoop whoop pull up]] - 21722,15574,15742,1238202693,1257191073
False,EdinaJambo,1731522413,0,Police Interceptors,Update text from '22 series' to '23 series' and adding Northamptonshire.,23068,22944,1249886253,1257191077
True,B-bot,1731522417,6,File:Mo'men logo.svg,"Tagging orphaned non-free image for deletion.  If this image is not added to an article in the next seven days, it will be deleted.",362,413,980908585,1257191088
True,Cewbot,1731522417,1,Talk:Marco Baffi,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),233,222,1205613149,1257191089
True,Cewbot,1731522423,1,Talk:Cindy-Lu Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 7 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),386,374,1205630661,1257191103
True,Cewbot,1731522420,1,Talk:Brett Bailey (basketball),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),228,217,1205628856,1257191095
False,Launchballer,1731522419,4,Wikipedia:Main Page/Errors,/* Next DYK */ +comment,13859,14334,1257190609,1257191090
True,Cewbot,1731522426,1,Talk:Kofi Bagabena,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),228,217,1205613154,1257191111
True,Cewbot,1731522432,1,Talk:Dija Baiano,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),240,228,1205627165,1257191119
True,Cewbot,1731522429,1,Talk:Samuel Bai,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),321,310,1205627155,1257191116
False,Hairy Dude,1731522433,0,IDF Code of Ethics,/* Modifications */[[MOS:LQ]],11421,11421,1255202360,1257191121
True,Cewbot,1731522438,1,Talk:Nikki Baggerman,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),240,228,1205615540,1257191133
False,Ikeshut2,1731522440,2,User:Ikeshut2/sandbox4,/* Travel */,16712,16712,1257190899,1257191139
False,Jaci Rocha,1731522439,0,Milk Cow Blues,/* Elvis Presley version */,11574,11618,1227301529,1257191138
False,Wbm1058,1731522441,2,User:Wbm1058/Cross-namespace redirects,Redirects from user to mainspace: 1984 + 104047 = 106031,4292,4292,1257174623,1257191144
True,Cewbot,1731522441,1,Talk:Alison Bailey (New Zealand academic),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),243,231,1205628872,1257191141
True,Cewbot,1731522435,1,Talk:André Baeyens,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),233,221,1205611054,1257191125
True,B-bot,1731522438,3,User talk:KarimKoueider,Notification that [[:File:Mo'men logo.svg]] is orphaned and will be deleted in seven days per [[WP:CSD#F5]],136227,137322,1256899041,1257191137
False,Ecrm87,1731522441,0,Royal Family Order of Edward VII,link cleanup,2965,2965,1238973891,1257191143
True,Cewbot,1731522444,1,Talk:Carlos Báez (athlete),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),317,306,1205611062,1257191148
False,Speakfor23,1731522450,0,Hilton Boston Park Plaza,/* 2024 open-ended strike */,13074,13066,1257182128,1257191167
False,Turkk 1453,1731522446,0,Çengelköy,changed grammar,5088,5130,1257190876,1257191153
True,Citation bot,1731522447,0,Hollywood Squares,Altered title. Added date. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Spinixster | [[Category:American television series revived after cancellation]] | #UCB_Category 428/460,68104,68116,1257046401,1257191161
True,Cewbot,1731522447,1,Talk:Leyla Bağcı,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),412,401,1208245123,1257191156
False,ProfGray,1731522449,0,EMET Prize,/* 2002 */ edit to match new blue link!,15006,15000,1252702018,1257191162
True,Cewbot,1731522450,1,Talk:Faiq Bağırov,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),316,305,1205896265,1257191166
True,Cewbot,1731522453,1,Talk:Barbara Bailar,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),612,599,1217304625,1257191174
True,Lowercase sigmabot III,1731522453,3,User talk:HJ Mitchell,Archiving 1 discussion(s) to [[User talk:HJ Mitchell/Archive 137]]) (bot,7579,6114,1257051997,1257191175
True,Lowercase sigmabot III,1731522450,3,User talk:HJ Mitchell/Archive 137,Archiving 1 discussion(s) from [[User talk:HJ Mitchell]]) (bot,71162,72627,1257007323,1257191170
False,Baylorc,1731522455,0,Twelve Oaks Lodge,Added short description,10295,10352,1237221185,1257191177
True,Cewbot,1731522456,1,Talk:Emma Baeri,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),309,297,1208261151,1257191183
False,ManiacOfSport,1731522448,0,Kosovo national football team,/* Players */ https://www.ffk-kosova.com/kombetarja-e-kosoves-mban-seancen-e-dyte-stervitore-para-udhetimit-drejt-rumanise/,125263,125314,1257125439,1257191158
True,Cewbot,1731522459,1,Talk:Balghis Badri,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),352,343,1205607898,1257191197
True,InternetArchiveBot,1731522457,0,Arlene Bynon,Rescuing 1 sources and tagging 0 as dead.) #IABot (v2.0.9.5) ([[User:Whoop whoop pull up|Whoop whoop pull up]] - 21722,2124,2312,1158810336,1257191187
True,Cewbot,1731522465,1,Talk:Stepan Baidiuk,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 6 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),360,349,1205627178,1257191212
False,GhostInTheMachine,1731522456,0,Biathlon Junior World Championships,"Changing [[Wikipedia:Short description|short description]] from ""annual World Championships since 1967"" to ""Annual winter sports competition""",42351,42346,1257121223,1257191191
True,Lowercase sigmabot III,1731522464,3,User talk:Dominic/Archive42,Archiving 2 discussion(s) from [[User talk:Dominic]]) (bot,24653,30581,1253177602,1257191207
True,Lowercase sigmabot III,1731522466,3,User talk:Dominic,Archiving 2 discussion(s) to [[User talk:Dominic/Archive42]]) (bot,14653,8725,1257051417,1257191215
True,Cewbot,1731522462,1,Talk:Laura Bailey (footballer),[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),376,367,1205630691,1257191205
False,Chrisahn,1731522466,1,Talk:Truth,/* Inclusion of reference to Colin Murray Turbayne */,36347,36351,1257191074,1257191218
True,Cewbot,1731522468,1,Talk:Elizabeth Mpagi Bahigeine,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),333,324,1205623125,1257191226
True,B-bot,1731522470,6,File:National Technical Honor Society crest.png,"Tagging orphaned non-free image for deletion.  If this image is not added to an article in the next seven days, it will be deleted.",249,300,1256906524,1257191229
False,39.58.147.32,1731522480,0,Toast,Changes and bug fixes,2553,2657,1257025533,1257191252
True,Lowercase sigmabot III,1731522479,3,User talk:SoWhy,Archiving 2 discussion(s) to [[User talk:SoWhy/Archive 33]]) (bot,14573,12584,1257051298,1257191248
True,Cewbot,1731522471,1,Talk:Shkëlzen Baftiari,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),255,244,1205841674,1257191231
True,Cewbot,1731522474,1,Talk:Wali Bahadur,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 3 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),235,223,1205621113,1257191236
True,Cewbot,1731522477,1,Talk:Satya Bahin,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 5 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),307,298,1205756100,1257191241
True,Cewbot,1731522480,1,Talk:Khalifa Bahrouni,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),279,268,1205627185,1257191253
False,Laborrights123,1731522467,0,China Labor Watch,"I edited the introduction and the section labeled ""Funding"" to ensure it adopted an accurate and neutral tone. I removed any wording or phrasing that was promotional or biased.",20012,20153,1257169879,1257191221
False,Simeon,1731522488,15,Category talk:Zimbabwean women writers,[[Wikipedia:WikiProject|WikiProject]] tagging,188,214,1239148533,1257191271
True,Cewbot,1731522489,1,Talk:Edward Phillip Bailey,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 2 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),289,277,1196493739,1257191275
True,Lowercase sigmabot III,1731522476,3,User talk:SoWhy/Archive 33,Archiving 2 discussion(s) from [[User talk:SoWhy]]) (bot,187856,189845,1255204054,1257191244
True,Cewbot,1731522483,1,Talk:Yohannes Bahçecioğlu,[[User:Cewbot/log/20200122/configuration|Maintain {{WPBS}}]]: 4 WikiProject templates. (Fix [[Category:Pages with redundant living parameter]]),306,294,1205623139,1257191260
False,Baylorc,1731522484,0,Fantom Warior,Added short description,12004,12053,1236856424,1257191266
